,title,ingredients,directions,NER
1472,Pugliese Bread,"[""8 cups unbleached all purpose flour"", ""3 cups water"", ""2 tablespoons salt"", ""1 packet instant dry yeast 4 oz"", ""olive oil for bowl""]","[""Mix flour, water, and yeast together in a large mixing bowl. Knead vigorously on a lightly floured surface; dough should be sticky and wet. After ten minutes of perspiration and exhaustion, add salt. Kneed for an additional 5 to 7 minutes until dough begins to pull away from the working surface and develops a smooth, light sheen. Lightly coat the interior of a large mixing bowl with olive oil; make sure the bowl is at least three times larger than the dough. Set dough in bowl, and let rise until it triples in volume, about 2 to 2 1/2 hours."", ""Heat the oven to 500 degrees with a baking stone or abaking cloche. Meanwhile, divide dough in half, and form two ovals or rounds. Allow to sit on generously floured parchment paper or dish towel. Let dough double in size, about 45 minutes."", ""You are now ready to bake. Invert dough onto heated baking stone or cloche, and then score deeply with a razor or a sharp knife, making three slashes about 2 inches long. If you have a baking cloche, cover it immediately with the bell. If using a baking stone, you need to add moisture to the oven for at least 20 minutes of the baking process. To do this, place a pie pan filled with ice cubes on the floor of the oven to produce steam; refill withmore ice as necessary. After 20 minutes, remove the bell or moisture source and lower temperature to 425 degrees.""]","[""water"", ""flour"", ""yeast"", ""olive oil"", ""salt""]"
1473,Seafood Casserole,"[""1 1/2 lb. frozen, cleaned shrimp"", ""6 oz. pkg. long grain wild rice"", ""1 tsp. Worcestershire sauce"", ""1 c. buttered bread crumbs"", ""6 oz. pkg. frozen crab meat"", ""3 chopped green onions"", ""1 c. mayonnaise""]","[""Cook shrimp according to package directions."", ""Thaw crab meat. Cook rice according to package directions using seasoning in package."", ""Mix all ingredients except bread crumbs."", ""Pour into a 1 1/2-quart greased casserole."", ""Top with buttered bread crumbs. Bake, uncovered, in a 350\u00b0 oven for 20 to 30 minutes."", ""Serves 6.""]","[""frozen"", ""green onions"", ""crab meat"", ""long grain wild rice"", ""mayonnaise"", ""buttered bread crumbs"", ""worcestershire sauce""]"
1474,Banana Ice Cream - Easiest,"[""banana, overripe"", ""milk (cream is you want)"", ""vanilla (optional)""]","[""Peel, cut and freeze (at least 1 hour- having them in my yard they are usually in the freezer) the bananas."", ""Pop them in your food processor or blender on steroids and pulse a few times."", ""Pulse more."", ""Add a splash of milk or more."", ""Blend until creamy."", ""Add vanilla and blend."", ""It will be like soft serve at this point."", ""Eat now or freeze more.""]","[""banana"", ""vanilla"", ""milk""]"
1475,Fruit Salad,"[""apples, cut in small pieces"", ""grapes (seedless)"", ""oranges (mandarin), cut in half"", ""fruit cocktail (large), drained"", ""peaches, cut in small pieces and drained"", ""pineapple chunks, cut in half and drained"", ""raisins"", ""coconut"", ""nuts (optional)"", ""marshmallows (optional)""]","[""Mix all these fruits together and pour a large box of Jell-O instant pudding and pie filling over."", ""Mix well."", ""Let set in refrigerator for 24 hours.""]","[""marshmallows"", ""fruit cocktail"", ""raisins"", ""nuts"", ""grapes"", ""coconut"", ""apples"", ""peaches"", ""oranges"", ""pineapple""]"
1476,Grandma's Applesauce Cake,"[""1/4 cup butter softened"", ""3 large eggs"", ""1/2 cup apple juice"", ""1/2 cup applesauce unsweetened"", ""2 cups flour, unbleached all-purpose"", ""2 teaspoons baking powder"", ""1 teaspoon baking soda"", ""2 teaspoons cinnamon"", ""1/2 cup raisins, seedless optional"", ""1 each apples washed, peeled, cored, thinly sliced""]","[""In a medium-sized bowl beat together butter, eggs, apple juice and applesauce."", ""Add flour, baking powder, baking soda and cinnamon."", ""Beat well."", ""Stir in raisins if desired."", ""Oil and flour an 8 inch square bakig pan."", ""Line the bottom of the pan, one layer deep, with thinly sliced apple."", ""Spoon batter over apples and smooth top."", ""Bake at 350F (180C)."", ""for 25 to 30 minutes or until well-browned."", ""Invert onto a wire rack to cool, apple side up."", ""Serve apple side up on individual dessert plates and spoon warm applesauce over each portion.""]","[""apples washed"", ""baking powder"", ""eggs"", ""baking soda"", ""cinnamon"", ""raisins"", ""flour"", ""apple juice"", ""butter""]"
1477,Paraguayan Cheese Snacks,"[""3 Tbsp. butter, softened"", ""2 eggs"", ""1-1/4 cups milk"", ""1 pkg. (10 oz.) frozen corn, thawed"", ""1 cup KRAFT Shredded Mozzarella Cheese"", ""1 small onion, chopped King Sooper's 1 lb For $0.99 thru 02/09"", ""3/4 cup cornmeal"", ""1/4 cup KRAFT Grated Parmesan Cheese""]","[""Preheat oven to 400F."", ""Beat butter in large bowl with electric mixer on medium speed 3 min."", ""Add eggs, one at a time, beating until well blended after each addition."", ""Add milk, corn, mozzarella cheese and onions; beat on medium-low speed until well blended."", ""Gradually add cornmeal and Parmesan cheese, beating well after each addition and stopping occasionally to scrape side of bowl with spatula."", ""Pour into greased 9-inch square baking pan."", ""(Batter will be thin.)"", ""Bake 30 min."", ""or until center is set."", ""Cool."", ""Cut into 16 squares to serve.""]","[""frozen corn"", ""cornmeal"", ""eggs"", ""mozzarella cheese"", ""parmesan cheese"", ""onion"", ""milk"", ""butter""]"
1478,Tartar Sauce,"[""1 c. mayonnaise"", ""1 tsp. onion juice or grated onion"", ""1 tsp. mustard"", ""1 Tbsp. sweet relish""]","[""Combine all ingredients; mix well."", ""Use on seafood.""]","[""onion juice"", ""mustard"", ""mayonnaise"", ""sweet relish""]"
1479,Ricotta Pancakes With Cinnamon Apples,"[""2 medium apples, sliced"", ""1 tablespoon butter"", ""1/2 cup sugar"", ""2 tablespoons sugar"", ""2 teaspoons ground cinnamon"", ""1 1/4 cups cake flour"", ""3 teaspoons baking powder"", ""1/4 teaspoon salt"", ""1 cup ricotta cheese"", ""1 cup 2% low-fat milk"", ""3 eggs, separated"", ""1 teaspoon grated lemon peel"", ""1 teaspoon lemon juice"", ""maple syrup""]","[""In a large saucepan, cook apples in butter over medium heat for 6-8 minutes or until tender. Sprinkle with 1/2 cup sugar and cinnamon; set aside."", ""In a large bowl, combine the flour, baking powder and salt. In another bowl, combine the cheese, milk, egg yolks, lemon peel, juice and remaining sugar. Stir into dry ingredients just until combined. In a small bowl, beat egg whites until stiff peaks form; fold into batter."", ""Pour batter by 1/4 cupfuls onto a greased hot griddle; turn when bubbles form on top. Cook until the second side is golden brown. Serve with apples and maple syrup.""]","[""cake flour"", ""sugar"", ""baking powder"", ""lemon juice"", ""eggs"", ""apples"", ""milk"", ""ricotta cheese"", ""maple syrup"", ""ground cinnamon"", ""butter"", ""salt""]"
1480,Jerusalem Artichoke Chips with Lemon Thyme Dip,"[""1/4 cup mayonnaise"", ""1 teaspoon finely grated fresh lemon zest"", ""1 teaspoon fresh lemon juice"", ""1 teaspoon chopped fresh thyme leaves"", ""4 cups vegetable oil"", ""1/2 pound Jerusalem artichokes (sometimes called Sun Chokes)""]","[""In a small bowl stir together mayonnaise, zest, lemon juice, thyme, and salt and pepper to taste until combined."", ""In a 4-quart heavy kettle heat oil over moderate heat until a deep-fat thermometer registers 325F."", ""While oil is heating, cut unpeeled artichokes lengthwise into 1/8-inch-thick slices."", ""Fry artichokes in 2 batches in oil 1 1/2 minutes (artichokes will not color) and transfer to paper towels to drain."", ""Heat oil to 350F."", ""Return artichokes in 2 batches to oil and fry, stirring occasionally, until golden and crisp, about 5 minutes."", ""Transfer chips with a slotted spoon to clean paper towels to drain and season with salt."", ""Serve chips with dip.""]","[""artichokes"", ""lemon juice"", ""lemon zest"", ""thyme"", ""mayonnaise"", ""vegetable oil""]"
1481,Home-Style Stew,"[""2 packages (16 ounces each) frozen vegetables for stew"", ""1-1/2 pounds beef stew meat, cut into 1-inch cubes"", ""1 can (10-3/4 ounces) condensed cream of mushroom soup, undiluted"", ""1 can (10-3/4 ounces) condensed tomato soup, undiluted"", ""1 envelope reduced-sodium onion soup mix""]","[""Place vegetables in a 5-qt. slow cooker. In a"", ""coated with cooking spray, brown beef on all sides."", ""Transfer to slow cooker. Combine the remaining ingredients; pour over the top."", ""Cover and cook on low for 6-8 hours or until meat is tender.""]","[""condensed cream"", ""frozen vegetables"", ""tomato soup"", ""onion soup mix"", ""beef stew meat""]"
1482,Duck Wraps With Asian Slaw ,"[""Marinade:"", ""1 Tbl Soy sauce"", ""1 Tbl Rice vinegar"", ""1 tsp Asian sesame oil"", ""1 tsp Minced garlic"", ""1 tsp Fresh grated ginger"", ""2 ea Boneless, skinless duck breasts"", ""Slaw:"", ""2 Cup Chopped Napa cabbage"", ""1/2 C Shredded carrot"", ""1/2 C Shredded golden delicious apple"", ""1/4 C Coarsely chopped cilantro"", ""1 Tbl Asian sesame oil"", ""1 Tbl Hoisin sauce"", ""1 tsp Rice vinegar"", ""1/2 tsp Ground black pepper"", ""1 Tbl Sesame seeds"", ""Dipping sauce:"", ""1/4 Cup Hoisin sauce"", ""1 Tbl Soy sauce"", ""1 Tbl Rice vinegar"", ""1/4 tsp Hot mustard powder"", ""4 ea Six inch tortillas"", ""Cilantro sprigs for garnish""]","[""Marinade:"", ""Wisk together marinade ingrediants."", """", ""Place duck in plastic bag with marinade. Press out air and seal. Refrigerate 1 to 3 hours."", """", ""Slaw:"", ""Combine slaw ingrediants. Cover and refrigerate until ready to serve."", """", ""Toast sesame seed until golden, about 5 min."", """", ""Duck:"", ""Grill over direct high heat to 160 degrees, about 3 minutes per side. Rest 5 min before slicing."", """", ""Warm tortillas on grill."", """", ""Slice the breasts in half lengthwise, then cut the halves into thin slices. Add sesame seeds to slaw."", """", ""To make wrap, roll up a portion of duck slices and slaw in tortilla. Cut wrap into quarters and serve with dipping sauce. Garnish with cilantro""]","[""cabbage"", ""vinegar"", ""golden delicious apple"", ""ginger"", ""dipping sauce"", ""tbl"", ""cilantro"", ""tbl sesame seeds"", ""mustard powder"", ""hoisin sauce"", ""sesame oil"", ""ground black pepper"", ""carrot"", ""duck breasts"", ""garlic"", ""tbl rice vinegar"", ""marinade""]"
1483,Eight Cup Fruit Salad,"[""1 large can fruit cocktail"", ""1 can mandarin oranges"", ""1 small can crushed pineapple"", ""1 jar cherries"", ""1 carton sour cream"", ""1 pkg. slivered almonds"", ""1 small can coconut"", ""2 c. small marshmallows""]","[""Drain cherries and oranges."", ""Mix well with other ingredients and chill overnight.""]","[""sour cream"", ""marshmallows"", ""fruit cocktail"", ""cherries"", ""coconut"", ""almonds"", ""mandarin oranges"", ""pineapple""]"
1484,Tortilla Cups ,"[""1 1/4 cups cold skim milk"", ""1 small box intant sugar free vanila pudding"", ""1 8oz. pkg. 1/3 reduced fat cream cheese"", ""1 8oz. tub Cool Whip Lite"", ""1 pkg. 6*-7* flour tortillas"", ""Splenda and Cinnamon""]","[""Spay each side of tortilla with non stick cooing spray and sprinkle lightly with mixture of 1 tablespoon of Splenda and 1 teaspoon of cinnamon. Heat oven to 350 degrees. After tortillas ae coated, cut each into quarters. Put rounded side down in large muffin tins. Bake 10 minutes"", """", ""Combine milk, pudding and cream cheese until smooth. Fold in Cool Whip. Refrigerate mixture 1 hour."", """", ""Just before serving, put about 1 T. of mixture into each tortilla.Garnish with melted bakers chocolate."", """", ""You can make the cups aahead of time and keep in an air tight container.""]","[""cold skim milk"", ""flour tortillas"", ""cream cheese"", ""splenda"", ""vanila pudding""]"
1485,Stars And Stripes Dessert,"[""2 pt. strawberries"", ""1 pound cake, cut into 8 slices"", ""1 1/2 c. blueberries, divided"", ""1 box Cool Whip""]","[""Slice 1 cup strawberries; set aside."", ""Halve remaining strawberries; set aside."", ""Line bottom of a 12 x 8-inch baking dish with cake slices."", ""Top with 1 cup sliced strawberries, 1 cup blueberries and cover top with Cool Whip."", ""Use strawberry halves and 1/3 cup blueberries to create a flag design."", ""Refrigerate until ready to serve.""]","[""cake"", ""strawberries"", ""blueberries""]"
1486,Slow Cooker Smoky Butternut Squash Soup,"[""1 (3- to 3 1/2-pound) (6 cups) butternut squash, peeled, cubed 3/4 inch"", ""1/2 cup finely chopped onion"", ""1 (14-ounce) can chicken broth"", ""2 teaspoons chopped chipotle chiles in adobo sauce"", ""1 tablespoon firmly packed brown sugar"", ""2 cups Land O Lakes Half & Half"", ""1/2 teaspoon salt"", ""1/4 cup finely chopped red apple"", ""2 tablespoons chopped fresh chives""]","[""Spray inside of 3- to 4-quart slow cooker with no-stick cooking spray."", ""Place all soup ingredients except half & half and salt into slow cooker."", ""Cover; cook, stirring once, on Low heat setting 4 hours or on High heat setting 2 1/2 hours, or until squash is tender."", ""Pour half of soup into 5-cup blender container or food processor bowl fitted with metal blade."", ""Cover; blend until soup is smooth."", ""Pour into bowl."", ""Repeat with remaining soup."", ""Return soup to slow cooker."", ""Stir in half & half and salt."", ""Cover; cook on Low heat setting 15-20 minutes or until heated through."", ""Garnish each serving with apple and chives.""]","[""chipotle chiles"", ""butternut squash"", ""brown sugar"", ""onion"", ""fresh chives"", ""chicken broth"", ""red apple"", ""salt""]"
1487,Black Bean Chili,"[""3 lb. leanest ground beef you can get (see note #1)"", ""2 c. chopped onions"", ""2 c. chopped green peppers"", ""4 c. cooked black beans (see note #2)"", ""6 to 8 jalapeno peppers, minced"", ""1/2 c. chopped black olives"", ""6 to 8 c. canned tomatoes (3 to 4 cans)"", ""salt, pepper, garlic, chili powder to taste""]","[""Note #1:"", ""The best bet is to by London broil and grind it yourself.""]","[""black beans"", ""tomatoes"", ""leanest ground beef"", ""green peppers"", ""peppers"", ""black olives"", ""onions"", ""salt""]"
1488,"Brown Bread(""A Favorite From The '76 Cookbook."")  ","[""1 c. brown sugar"", ""2 eggs"", ""1/2 c. molasses"", ""3 c. buttermilk"", ""2 1/2 c. white flour"", ""3 c. whole wheat flour"", ""1 tsp. salt"", ""2 tsp. (scant) soda"", ""1/2 c. raisins (may be added last)""]","[""Beat sugar and eggs."", ""Add molasses and buttermilk."", ""Sift white flour with salt and soda."", ""Add alternately with whole wheat flour. Grease and flour bread pan and bake at 350\u00b0 for about 1 hour or until toothpick comes out clean.""]","[""buttermilk"", ""brown sugar"", ""eggs"", ""molasses"", ""soda"", ""raisins"", ""whole wheat flour"", ""white flour"", ""salt""]"
1489,Deep-Fried Turkey,"[""3/4 cup chopped onion"", ""3/4 cup chopped celery"", ""3 to 6 tablespoons chopped garlic"", ""4 tablespoons unsalted butter"", ""2 tablespoons (or more) chopped hot peppers from pepper vinegar"", ""2 tablespoons Worcestershire sauce"", ""1 tablespoon plus 1 teaspoon salt"", ""1 tablespoon cayenne"", ""1 tablespoon black pepper"", ""1 cup chicken stock"", ""1 recipe for internal turkey brine"", ""1 14-pound turkey"", ""1 tablespoon of cayenne or favorite Cajun spice"", ""5 gallons of peanut oil or lard (approximately)""]","[""Eight to 24 hours in advance, make the brine by sauteing onion, celery and garlic in butter until tender."", ""Add hot peppers and Worcestershire, then stir in the salt, cayenne and black pepper."", ""Add the chicken stock and bring to a boil."", ""Strain into a bowl, pressing the solids to extract as much juice as possible, to yield about 1 1/2 cups."", ""With monster hypodermic, inject the turkey's breast in five places and each leg in one place."", ""With your bare hands, rub the cayenne into the turkey's breast under the skin."", ""Omit if you don't like the flavor -- though it's very mild in this quantity."", ""Refrigerate, uncovered, for 8 to 24 hours."", ""Or if you prefer, you may fry the bird immediately."", ""On the day you plan to eat it, remove the turkey from the refrigerator, place it in the empty fryer pot and cover with water."", ""Then empty the pot, measuring the water to find out how much oil you'll need (usually about 5 gallons for a 14 pounder)."", ""Dry the pot very thoroughly and fill it with the same amount of oil or lard, attach the extra-long thermometer and heat the oil to 350 to 375 degrees."", ""Just before lowering the bird, turn off the flame to make absolutely sure that Mr. Peanut's essence won't start a fire."", ""Then pierce the turkey with its holder and lower slowly into the oil."", ""Boil for 49 minutes or longer (3 to 3 1/2 minutes per pound)."", ""Remove the turkey, drain excess oil and rest it on a platter for 10 to 30 minutes."", ""Slice and dive in!""]","[""cayenne"", ""salt"", ""black pepper"", ""turkey brine"", ""onion"", ""peanut oil"", ""celery"", ""turkey"", ""chicken stock"", ""garlic"", ""pepper vinegar"", ""worcestershire sauce"", ""unsalted butter""]"
1490,Baba Gannouj (Joel Rapp) Recipe,"[""6 lrg Eggplants"", ""2 x Lemons, juiced"", ""2 Tbsp. Tahini Salt"", ""1 lrg Garlic clove"", ""1/4 c. Minced parsley, fresh"", ""2 Tbsp. Extra virgin olive oil""]","[""Cook eggplants whole on all sides, turning as necessary until they are soft throughout & the skin is charred."", ""Set aside to cold for 1 hour."", ""Peel eggplants & throw away skin."", ""In a mixing bowl, add in lemon juice & tahini."", ""Blend well."", ""Add in salt to taste."", ""Finely chop the garlic clove & add in to mashed eggplant."", ""Stir well & chill."", ""To serve, place in a flat serving dish & garnish with parsley."", ""Pour extra virgin olive oil the top.""]","[""eggplants"", ""lemons"", ""extra virgin olive oil"", ""tahini salt"", ""parsley"", ""garlic""]"
1491,Chicken With Beau Monde Seasoning,"[""6 boneless chicken breasts"", ""1/4 cup flour"", ""1/2 teaspoon beau monde seasoning"", ""butter"", ""2 tablespoons water"", ""1 pint sour cream"", ""paprika""]","[""Coat chicken breasts in flour and seasoning."", ""Brown on both sides lightly in butter in a skillet."", ""Place browned chicken in a baking dish; add pan drippings and 2 tablespoons water."", ""Cover each breast with sour cream and sprinkle paprika on top."", ""Cover baking dish tightly with foil."", ""Bake at 350 degrees for an hour or until chicken is done.""]","[""sour cream"", ""chicken breasts"", ""water"", ""beau monde seasoning"", ""flour"", ""paprika"", ""butter""]"
1492,Lemon-Lime Punch,"[""3 pkg. lemon-lime Kool-Aid"", ""2 qt. water"", ""2 c. sugar"", ""1 large pineapple juice"", ""1 large ginger ale""]","[""Mix all ingredients together and chill.""]","[""lemon-lime"", ""sugar"", ""water"", ""pineapple juice"", ""ginger ale""]"
1493,Poppy Seed Chicken Casserole,"[""4 chicken breasts, cooked and cubed"", ""8 oz. sour cream"", ""1 can cream of chicken soup"", ""1 tsp. poppy seed"", ""3/4 tsp. black pepper"", ""1 stack Ritz crackers"", ""1/2 stick butter""]","[""Mix all ingredients, except crackers and butter."", ""Melt butter; mix well with crackers."", ""Sprinkle cracker mixture on top of chicken mixture."", ""Bake at 350\u00b0 until bubbly, about 30 minutes.""]","[""cream of chicken soup"", ""sour cream"", ""stack"", ""chicken breasts"", ""black pepper"", ""poppy seed"", ""butter""]"
1494,Pikelets (Scottish Pancakes),"[""1 cup self-rising flour"", ""1/4 cup sugar"", ""1/4 teaspoon baking soda"", ""1 egg, lightly beaten"", ""3/4 cup milk"", ""1 tablespoon butter""]","[""Sift together the flour, sugar, and baking soda in a large bowl. Slowly add the egg and milk while stirring continually until smooth."", ""Place a skillet over medium heat. Lightly coat the surface of the skillet with butter. Pour 1/8 cup of batter into the skillet. Cook until bubbles begin to appear on the surface of the batter; flip and continue to cook until lightly browned on the bottom, 1 to 2 minutes each side. Reapply butter to the skillet between batches.""]","[""egg"", ""sugar"", ""baking soda"", ""flour"", ""milk"", ""butter""]"
1495,Ice Cream Dessert,"[""1 large box vanilla wafers, crushed"", ""3/4 c. butter or margarine"", ""1 c. chopped pecans or walnuts"", ""1/2 gal. vanilla ice cream"", ""Chocolate Sauce""]","[""Mix the wafer crumbs, butter and nuts."", ""Put half of the mixture in bottom of a 9 x 13-inch dish."", ""Cut the ice cream into slices and place over crumbs."", ""Top with balance of crumb mixture. Put in freezer until serving time."", ""Cut into squares and serve with Chocolate Sauce.""]","[""vanilla wafers"", ""pecans"", ""vanilla ice cream"", ""chocolate sauce"", ""butter""]"
1496,BLT Dip,"[""4 slices bacon"", ""3 green onions, thinly sliced"", ""14 cup mayonnaise"", ""14 cup Greek yogurt"", ""14 cup arugula, chopped"", ""14 teaspoon salt"", ""14 teaspoon black pepper, freshly ground"", ""1 pint grape tomatoes, quartered""]","[""Place the bacon in a medium skillet over medium heat; cook, turning, until crisp, about 6 minutes."", ""Transfer to a plate lined with a paper towel."", ""Combine the onions, mayonnaise, yogurt, arugula, salt and pepper to taste in a food processor; pulse until chunky, about 5 times."", ""Transfer to a medium bowl."", ""Crumble the bacon into the bowl; stir into the mayonnaise mixture."", ""Stir in the tomatoes.""]","[""grape tomatoes"", ""greek yogurt"", ""bacon"", ""black pepper"", ""green onions"", ""arugula"", ""mayonnaise"", ""salt""]"
1497,OREO Rocky Road Chocolate Bark,"[""4 pkg. (4 oz. each) BAKER'S Semi-Sweet Chocolate, melted"", ""1/2 cup chopped PLANTERS Dry Roasted Peanuts"", ""4 OREO Cookies, coarsely chopped"", ""1/2 cup JET-PUFFED Miniature Marshmallows""]","[""Combine ingredients."", ""Spread onto parchment- or waxed paper-covered baking sheet."", ""Refrigerate 1 hour or until firm, then break into small pieces.""]","[""jet-puffed miniature marshmallows"", ""peanuts"", ""chocolate"", ""oreo cookies""]"
1498,"Chicken, Black Bean & Corn Grilled Quesadillas","[""15 ounces black beans, rinsed and drained (1 can)"", ""1 cup corn (frozen is just fine for this)"", ""1 cup chicken, shredded (use a leftover a chicken breast leftover or even a little bit of rotisserie chicken)"", ""1 tablespoon diced jalapeno, ribs and seeds removed and diced very fine (more or less to taste)"", ""2 cups monterey jack pepper cheese"", ""1/4 cup cilantro, fresh and chopped well"", ""8 flour tortillas"", ""3 teaspoons olive oil (1 to saute the filling and 2 to brush on the tortillas)"", ""1 teaspoon cumin"", ""1/2 teaspoon garlic, minced"", ""1 teaspoon chili powder"", ""Toppings"", ""sliced avocado"", ""salsa"", ""sour cream"", ""chopped lettuce""]","[""Filling -- In a large saute pan, add the garlic, jalapeno and cook 2 minutes, then add the beans, corn, chicken, cilantro, cumin, chili powder and mix well and heat up. That is it."", ""Stuff the Quesadilla -- Top one side of the quesadilla with the filling, top with cheese and fold in half (to form a half circle)."", ""Grill -- This can be done on a inside grill pan or outside grill, saute pan, or a 400 degree oven. Just make sure to brush the quesadilla with some oil oil to get a nice crispy golden brown quesadilla. Just a couple of minutes per side is all it takes on the grill or grill pan. Just make sure the cheese melts and the quesadilla gets golden brown. Medium heat is all you need. Each grill inside or out or saute pan is different so just cook until golden brown is all."", ""Serve -- Cut the quesadilla in 2-3 slices. I just use a pizza cutter or a knife works fine. For me -- I serve over a bed of lettuce or Mexican rice, then add maybe some sour cream, salsa and always avocado slices (just my favorite). Use your favorite toppings. Fresh diced tomatoes or black olives are also very good. ENJOY!""]","[""cumin"", ""black beans"", ""corn"", ""very"", ""toppings"", ""sour cream"", ""flour tortillas"", ""cilantro"", ""chili powder"", ""lettuce"", ""pepper cheese"", ""salsa"", ""garlic"", ""chicken"", ""olive oil"", ""avocado""]"
1499,Crab Spread,"[""1 can cream of mushroom soup"", ""1 (8 oz.) pkg. cream cheese"", ""1 (6 oz.) can crabmeat, drained and rinsed"", ""1 c. mayo"", ""1 c. celery"", ""1 c. onion""]","[""Heat soup. Add cream cheese; stir until well blended. Remove from heat and add crab meat, mayo, celery and onion. Refrigerate overnight."", ""Serve with crackers.""]","[""cream of mushroom soup"", ""onion"", ""crabmeat"", ""celery"", ""mayo"", ""cream cheese""]"
1500,The Smoky Robinson ,"[""1/2 cup maple syrup"", ""2 star anise"", ""2 cinnamon sticks"", ""5 whole cloves"", ""1 1/2 ounces Tennessee whiskey (such as George Dickel)"", ""1/2 ounce mezcal"", ""3/4 ounce maple-spiced syrup"", ""3/4 ounce fresh lemon juice"", ""Lemon twist, for serving""]","[""In a small saucepan, combine maple syrup with spices and 1/2 cup water. Bring to a boil and turn off the heat. Cover and let stand for at least 30 minutes (or up to overnight), and then strain into a clean container."", ""In a cocktail shaker, combine whiskey, mezcal, maple-spiced simple syrup, and lemon juice. Add ice and shake. Strain into an ice-filled rocks glass and garnish with lemon twist.""]","[""mezcal"", ""lemon juice"", ""lemon twist"", ""anise"", ""cloves"", ""tennessee whiskey"", ""maple syrup"", ""maple"", ""cinnamon sticks""]"
1501,Guacamole Any Way You Want It,"[""2 heads garlic"", ""4 tablespoons extra-virgin olive oil"", ""2 tablespoons unsalted butter"", ""2 red onions, sliced, plus 1 chopped"", ""4 jalapeno peppers"", ""2 ears corn on the cob, shucked"", ""2 red bell peppers"", ""12 corn tortillas"", ""1 teaspoon chili powder"", ""1 teaspoon Italian seasoning"", ""1 teaspoon taco seasoning"", ""2 mangoes"", ""Juice of 4 limes"", ""Kosher salt"", ""4 large avocados"", ""1 bunch fresh cilantro, chopped"", ""1 bunch scallions, chopped"", ""2 chipotle in adobo sauce, chopped"", ""Red pepper flakes"", ""Hot sauce""]","[""Preheat the oven to 375 degrees F."", ""Cut the tops off the pointed end of the garlic bulbs."", ""Put them onto a sheet of aluminum foil and drizzle with 1 tablespoon of the olive oil."", ""Wrap loosely, put into the oven and bake until soft, 35 to 45 minutes."", ""Unwrap and let cool a bit."", ""Melt the butter in a medium skillet over medium heat."", ""Add the sliced red onions and cook slowly, stirring often, until the onions are dark and caramelized."", ""Heat a grill or grill pan over medium heat and add the jalapeno peppers, corn and bell peppers."", ""Turn the vegetables frequently until they are well charred."", ""Put all the peppers into a bowl and cover with plastic wrap."", ""When they are cool enough to handle, peel off the black skin and chop into small pieces."", ""When the corn is cool enough to handle, cut the kernels off the cob."", ""Cut the tortillas into triangles and put them in one layer on 3 baking sheets."", ""Drizzle 1 tablespoon of the olive oil over each pan."", ""Sprinkle the spices, one for each pan, over the triangles."", ""Bake until they are lightly browned and crispy."", ""Peel and chop the mango."", ""Stir in the chopped red onions, half the lime juice and some salt."", ""Peel and chop the avocado."", ""Add the rest of the lime juice and some salt and mix gently."", ""Set up your Guacamole Bar: Put the guacamole in a large bowl."", ""Put all the mix-ins - the roasted garlic, mango salsa, caramelized onions, bell peppers, corn, jalapenos, cilantro, scallions, chipotles, red pepper flakes and hot sauce - into smaller bowls."", ""Let people help themselves to guacamole and their favorite toppings."", ""Serve with the flavored chips.""]","[""italian seasoning"", ""chili powder"", ""red bell peppers"", ""sauce"", ""red onions"", ""mangoes"", ""extra-virgin olive oil"", ""scallions"", ""kosher salt"", ""avocados"", ""taco"", ""red pepper"", ""fresh cilantro"", ""corn"", ""limes"", ""garlic"", ""peppers"", ""corn tortillas"", ""unsalted butter""]"
1502,Golden Cream Soup,"[""3 c. chopped potatoes"", ""1 c. water"", ""1/2 c. celery slices"", ""1/2 c. carrot slices"", ""1/4 c. chopped onion"", ""1 tsp. parsley flakes"", ""1/2 tsp. salt"", ""dash of pepper"", ""1 chicken bouillon cube"", ""1 1/2 c. milk"", ""2 Tbsp. flour"", ""1/2 lb. Velveeta cheese""]","[""Combine potatoes, water, celery, carrot, onion, parsley flakes, seasonings and bouillon cube."", ""Cover and simmer 15 to 20 minutes."", ""Add milk and flour together, then add to vegetables. Cook until thick."", ""Add cheese; stir until melted.""]","[""potatoes"", ""velveeta cheese"", ""pepper"", ""milk"", ""onion"", ""parsley flakes"", ""water"", ""celery"", ""flour"", ""carrot"", ""chicken"", ""salt""]"
1503,Ham Soup,"[""1 lb diced ham"", ""1 onion, chopped"", ""2 cups corn"", ""3 tomatoes, peeled &amp,diced"", ""2 potatoes, peeled &amp,diced"", ""1 tablespoon soy sauce"", ""1 teaspoon sugar"", ""1 teaspoon salt"", ""1 teaspoon Tabasco sauce"", ""water or broth, to cover""]","[""Place ingredients in slow cooker."", ""Cover and cook on low all day."", ""Stir occasionally."", ""Add water if necessary.""]","[""potatoes"", ""corn"", ""sugar"", ""tomatoes"", ""soy sauce"", ""tabasco sauce"", ""onion"", ""ham"", ""water"", ""salt""]"
